Show,,Status,Renewal,TVSeason,Network,Season,Episode,AirDay,AirTime,AirDayInitial,AirTimeInitial,AirDayTimeInitial,ChangeAirDayTime,Debut on Different Day,Premier Date,Finale Date,DaysfromTVSeasonPremiere,SeasonDays,18to49_Avg,18to49_Premiere,18to49_Max,18to49_Min,18to49_YrtoYrChange,18to49_LossGainPremiere,18to49_%DropPremiere,Total_Avg,Total_Premiere,Total_Max,Total_Min,Total_YrtoYrChange,Total_LossGainPremiere,Total_%DropPremiere,18to49_1,18to49_2,18to49_3,18to49_4,18to49_5,18to49_6,18to49_7,18to49_8,18to49_9,18to49_10,18to49_11,18to49_12,18to49_13,18to49_14,18to49_15,18to49_16,18to49_17,18to49_18,18to49_19,18to49_20,18to49_21,18to49_22,18to49_23,18to49_24,18to49_25,Average per Episode,Loss/Gain,%Drop,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23,Total_24,Total_25,Average per Episode,Loss/Gain,%Drop
Crazy Ex-Girlfriend,Crazy Ex-Girlfriend2018,Ended,0,2018,CW,4,18,Fri,9:00 PM,Fri,9:00 PM,Fri 9:00 PM,0,No,10/12/18,4/5/19,33,175,0.12,0.1,0.2,0.1,-0.401,0.02,-0.2,-0.54,0.4,0.5,0.31,-0.3516,-0.94,2.35,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,,,,,,,,0.12,0,-18.75,0.4,0.38,0.41,0.46,0.42,0.4,0.5,0.39,0.45,0.41,0.37,0.4,0.41,0.31,0.4,0.38,0.5,0.38,,,,,,,,0.41,-0.02,-2.36
Criminal Minds,Criminal Minds2013,Renewed,1,2013,CBS,9,24,Wed,9:00 PM,Wed,9:00 PM,Wed 9:00 PM,0,No,9/25/13,5/14/14,9,231,2.49,2.8,2.8,2.2,-0.131,-0.31,0.1107,10.08,11.27,12.92,9.42,-0.0477,-1.19,0.1056,2.8,2.7,2.6,2.7,2.7,2.4,2.3,2.7,2.8,2.4,2.4,2.4,2.2,2.8,2.5,2.2,2.6,2.3,2.2,2.6,2.3,2.2,2.3,2.7,,2.49,-0.1,11.01,11.27,11.12,10.98,11.06,11.55,10.64,9.7,11.63,12.4,11.1,11.19,10.35,10.35,12.92,10.06,9.42,11.42,10.74,10.14,10.47,9.85,10.3,10.52,12.03,,10.88,0.76,3.43
Criminal Minds,Criminal Minds2014,Renewed,1,2014,CBS,10,23,Wed,9:00 PM,Wed,9:00 PM,Wed 9:00 PM,0,No,10/1/14,5/6/15,15,217,2.14,2.7,2.7,1.8,-0.1369,-0.56,0.2074,9.97,11.65,11.65,8.72,-0.0524,-1.68,0.1442,2.7,2.3,2.4,2.5,2.3,2.1,2.3,2.3,2.2,2.1,2.2,2,2.1,2,1.9,1.9,2.1,2.1,2.1,2.1,2,1.8,1.8,,,2.14,-0.9,20.61,11.65,10.57,10.89,9.92,10.48,9.78,10.35,10.68,11,10.12,10.31,10.29,10.7,10.48,9.89,10.37,10.32,10.08,10.39,10.37,10.06,8.72,9.61,,,10.31,-2.04,11.54
Criminal Minds,Criminal Minds2015,Renewed,1,2015,CBS,11,22,Wed,9:00 PM,Wed,9:00 PM,Wed 9:00 PM,0,No,9/30/15,5/4/16,9,217,1.79,2,2.2,1.5,-0.1675,-0.21,0.105,8.42,10.08,10.94,7.64,-0.126,-1.66,0.1647,2,1.7,1.7,1.6,1.6,1.5,1.6,1.5,1.6,1.9,2,2,2,1.8,1.8,1.9,1.9,2.2,1.8,1.7,1.7,1.8,,,,1.79,-0.2,10.68,10.08,9.08,9.08,8.47,7.64,7.79,8.51,8.14,8.75,9.27,9.33,9.25,9.22,8.97,8.64,9.32,9.8,10.94,9.17,8.81,9.14,8.84,,,,9.01,-1.24,10.61
Criminal Minds,Criminal Minds2016,Renewed,1,2016,CBS,12,22,Wed,9:00 PM,Wed,9:00 PM,Wed 9:00 PM,0,No,9/28/16,5/10/17,40,224,1.4,1.9,1.9,1.2,-0.2245,-0.5,0.2632,7.68,8.92,8.92,6.54,-0.1715,-1.24,0.139,1.9,1.4,1.7,1.6,1.3,1.4,1.4,1.3,1.4,1.4,1.3,1.2,1.3,1.3,1.3,1.3,1.3,1.2,1.3,1.3,1.5,1.6,,,,1.4,-0.3,26.56,8.92,7.62,8.4,7.66,7.37,7.62,7.44,7.77,7.27,7.54,7.45,6.7,7.34,7.33,6.54,7.5,7.46,6.88,7.04,6.91,7.37,8.12,,,,7.47,-0.8,16.3
Criminal Minds,Criminal Minds2017,Renewed,1,2017,CBS,13,22,Wed,10:00 PM,Wed,10:00 PM,Wed 10:00 PM,0,No,9/27/17,4/18/18,17,203,0.99,1.3,1.3,0.9,-0.2875,-0.31,0.2385,6.03,7,7,5.04,-0.2325,-0.97,0.1386,1.3,1.1,1.1,1,1,0.9,1,1,0.9,0.9,1,1,0.9,1,0.9,0.9,0.9,1.1,1,0.9,1,0.9,,,,0.99,-0.4,24.13,7,6.17,5.87,5.94,5.91,5.5,5.64,6.31,5.34,5.41,5.7,5.63,5.3,5.42,5.04,5.69,5.26,6.59,5.9,5.2,5.92,5.39,,,,5.73,-1.61,18.1
Criminal Minds,Criminal Minds2018,Renewed/Ending,1,2018,CBS,14,15,Wed,10:00 PM,Wed,10:00 PM,Wed 10:00 PM,0,No,10/3/18,2/6/19,24,126,0.75,0.7,0.9,0.7,-0.2316,0.05,-0.0714,3.51,4.45,5.49,4.28,-0.185,-0.94,0.2112,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.9,0.7,0.8,0.7,0.8,0.8,0.8,0.8,,,,,,,,,,,0.75,0.1,-7.62,4.45,4.62,4.4,4.28,4.41,4.55,4.52,5.49,4.5,5.43,4.91,4.55,4.45,4.73,4.72,,,,,,,,,,,4.67,0.27,-4.88
Criminal Minds: Beyond Borders,Criminal Minds: Beyond Borders2015,Renewed,1,2015,CBS,1,13,Wed,10:00 PM,Wed,10:00 PM,Wed 10:00 PM,0,No,3/16/16,5/25/16,177,70,1.25,1.6,1.6,1,0,-0.35,0.2188,7.04,8.88,8.88,5.19,0,-1.84,0.2072,1.6,1.5,1.3,1.2,1.2,1.5,1.3,1.2,1.2,1.1,1.1,1,1,,,,,,,,,,,,,1.25,-0.6,22.12,8.88,7.75,7.07,7.44,6.98,7.91,7.55,6.58,6.82,6.05,5.94,5.19,5.74,,,,,,,,,,,,,6.92,-3.14,22.12
Criminal Minds: Beyond Borders,Criminal Minds: Beyond Borders2016,Cancelled,0,2016,CBS,2,13,Wed,10:00 PM,Wed,10:00 PM,Wed 10:00 PM,0,No,3/8/17,5/17/17,201,70,0.82,0.9,0.9,0.7,-0.3393,-0.08,0.0889,4.62,5.35,5.74,4.16,-0.289,-0.73,0.1364,0.9,0.9,0.8,0.9,0.7,0.9,0.8,0.8,0.8,0.9,0.8,0.7,0.7,,,,,,,,,,,,,0.82,-0.2,9.4,5.35,5.37,4.78,4.97,4.61,5.74,4.92,4.74,4.56,5,4.85,4.16,4.87,,,,,,,,,,,,,4.92,-0.48,8.09
Crisis,Crisis2013,Cancelled,0,2013,NBC,1,10,Sun,10:00 PM,Sun,10:00 PM,Sun 10:00 PM,0,No,3/16/14,6/21/14,181,97,1.05,1.6,1.6,0.7,0,-0.55,0.3438,5.95,6.53,6.53,2.94,0,-0.58,0.0888,1.6,1.3,1.1,1,1.1,0.9,1,1,0.7,0.8,,,,,,,,,,,,,,,,1.05,-0.8,34.38,6.53,5.14,4.34,4.47,4.07,3.73,4.01,3.61,2.94,3.88,,,,,,,,,,,,,,,,4.27,-2.65,34.58
Cristela,Cristela2014,Cancelled,0,2014,ABC,1,22,Fri,8:30 PM,Fri,8:30 PM,Fri 8:30 PM,0,No,10/10/14,4/17/15,24,189,1,1.3,1.3,0.8,0,-0.3,0.2308,5.55,6.51,6.61,4.1,0,-0.96,0.1475,1.3,1.2,1,1,1,1.1,1,0.9,0.8,1.3,1.1,1,1,0.9,1,0.9,1,0.8,0.8,1,1,0.9,,,,1,-0.4,23.08,6.51,5.99,5.04,5.4,4.95,5.11,5.19,4.64,4.45,6.61,5.1,5.69,5.49,5.05,5.66,5.04,5.27,4.4,4.1,5.43,5.13,4.77,,,,5.23,-1.74,19.69
Crowded,Crowded2015,Cancelled,0,2015,NBC,1,13,Sun,9:30 PM,Sun,9:30 PM,Sun 9:30 PM,0,Yes,3/15/16,5/22/16,176,68,0.91,1.7,1.7,0.4,0,-0.79,0.4647,5.99,6.52,6.52,2.12,0,-0.53,0.0813,1.7,1.4,1,0.8,0.8,0.9,1.1,0.9,0.7,0.7,0.7,0.7,0.4,,,,,,,,,,,,,0.91,-1.3,46.61,6.52,5.06,3.75,3.52,3.47,4.19,5.15,4.03,3,3.03,2.69,3.09,2.12,,,,,,,,,,,,,3.82,-4.4,41.46
CSI Cyber,CSI Cyber2014,Renewed,1,2014,CBS,1,13,Wed,10:00 PM,Wed,10:00 PM,Wed 10:00 PM,0,No,3/4/15,5/13/15,169,70,1.38,1.8,1.8,1.2,0,-0.42,0.2333,8.08,10.46,10.46,6.54,0,-2.38,0.2275,1.8,1.7,1.4,1.4,1.5,1.5,1.2,1.5,1.2,1.2,1.2,1.2,1.2,,,,,,,,,,,,,1.38,-0.6,23.08,10.46,9.71,7.96,8.16,8.25,8.12,8.42,8.27,7.23,6.54,8.67,6.97,6.68,,,,,,,,,,,,,8.04,-3.78,23.14
CSI Cyber,CSI Cyber2015,Cancelled,0,2015,CBS,2,18,Sun,10:00 PM,Sun,10:00 PM,Sun 10:00 PM,0,No,10/4/15,3/13/16,13,161,0.91,1,1.2,0.7,-0.3349,-0.09,0.09,5.74,6.79,6.82,5.21,-0.2415,-1.05,0.1546,1,0.8,0.7,0.8,0.7,0.8,1,0.9,0.8,1.1,1,1,0.9,0.9,1.2,0.8,1,1,,,,,,,,0.91,0,8.89,6.79,6.05,5.21,6.54,5.44,5.65,5.75,6.3,5.93,6.18,6.49,6.82,6.31,6.69,6.61,5.72,5.94,6.32,,,,,,,,6.15,-0.47,9.39
CSI,CSI2013,Renewed,1,2013,CBS,14,22,Wed,10:00 PM,Wed,10:00 PM,Wed 10:00 PM,0,No,9/25/13,5/7/14,9,224,1.9,2,2.1,1.6,-0.164,-0.1,0.05,8.99,9.12,11.19,8.82,-0.0473,-0.13,0.0143,2,2.1,1.9,2,2.1,1.7,1.8,1.9,2.1,2,1.8,2,1.6,2,2,1.7,2,2,1.8,1.7,1.7,1.9,,,,1.9,-0.1,5,9.12,9.66,8.82,9.45,10.45,9.5,9.08,10.47,11.19,10.94,10.18,10.3,9.47,11.16,9.77,9.29,10.15,10.2,9.77,9.11,9.95,10.01,,,,9.91,0.89,-8.67
CSI,CSI2014,Cancelled,0,2014,CBS,15,18,Sun,10:00 PM,Sun,10:00 PM,Sun 10:00 PM,0,No,9/28/14,2/15/15,12,140,1.29,1.3,1.6,1.1,-0.3238,-0.01,0.0077,7.14,9.42,10.38,7.12,-0.1678,-2.28,0.242,1.3,1.3,1.4,1.4,1.2,1.3,1.3,1.4,1.2,1.2,1.3,1.4,1.3,1.3,1.2,1.6,1.1,1.1,,,,,,,,1.29,-0.2,0.43,9.42,8.04,8.77,8.85,8.67,8.45,7.88,8.3,7.89,7.18,7.34,7.84,8.62,8.3,8.25,10.38,7.12,7.12,,,,,,,,8.25,-2.3,12.47
Dads,Dads2013,Cancelled,0,2013,FOX,1,18,Tue,8:00 PM,Tue,8:00 PM,Tue 8:00 PM,0,No,9/17/13,2/11/14,1,147,1.39,2.2,2.2,1,0,-0.81,0.3682,4.77,5.76,5.76,2.49,0,-0.99,0.1719,2.2,1.5,1.3,1.3,1.5,1.4,1.4,1.2,1.3,1.2,1.4,1.5,1.2,1.5,1.5,1.5,1.1,1,,,,,,,,1.39,-1.2,36.87,5.76,3.65,3.4,3.1,3.42,3.59,3.65,3.19,3.21,3.18,3.35,3.64,3.2,3.88,3.96,3.73,2.7,2.49,,,,,,,,3.51,-3.27,39.14
Deception,Deception2017,Cancelled,0,2017,ABC,1,13,Sun,10:00 PM,Sun,10:00 PM,Sun 10:00 PM,0,No,3/11/18,5/27/18,182,77,0.7,1.2,1.2,0.4,0,-0.5,0.4167,5.45,5.93,5.93,2.26,0,-0.48,0.0809,1.2,0.8,0.7,0.8,0.7,0.6,0.7,0.8,0.7,0.7,0.6,0.4,0.4,,,,,,,,,,,,,0.7,-0.8,41.67,5.93,3.97,3.86,4,3.61,3.24,3.1,3.64,3.25,3.37,3.18,2.26,2.26,,,,,,,,,,,,,3.51,-3.67,40.76
Designated Survivor,Designated Survivor2016,Renewed,1,2016,ABC,1,21,Wed,10:00 PM,Wed,10:00 PM,Wed 10:00 PM,0,No,9/21/16,5/17/17,33,238,1.25,2.2,2.2,0.9,0,-0.95,0.4318,6.99,10.04,10.04,4.62,0,-3.05,0.3038,2.2,1.8,1.6,1.6,1.2,1.2,1.2,1.3,1.1,1.2,1.3,1.3,1.1,1.1,1.1,0.9,1,1.1,0.9,1,1.1,,,,,1.25,-1.1,43.07,10.04,7.97,7.05,7,5.96,5.56,5.52,5.45,5.18,6.18,5.86,5.74,5.15,5.19,4.82,5.05,5.11,4.62,4.92,5.07,,,,,,5.87,-4.97,41.51
Designated Survivor,Designated Survivor2017,Renewed,1,2017,ABC,2,22,Wed,10:00 PM,Wed,10:00 PM,Wed 10:00 PM,0,No,9/27/17,5/16/18,17,231,0.7,1.1,1.1,0.5,-0.4385,-0.4,0.3636,4.92,5.5,5.5,3.29,-0.3267,-0.58,0.1055,1.1,0.9,0.9,0.8,0.7,0.7,0.8,0.7,0.7,0.8,0.6,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.6,0.5,0.6,,,,0.7,-0.5,36.36,5.5,4.8,4.61,4.34,3.94,3.92,4.05,4.03,3.87,4.38,3.72,3.6,3.69,3.98,3.8,3.84,3.29,3.51,3.36,3.47,3.29,3.54,,,,3.93,-1.96,28.49
Doubt,Doubt2016,Cancelled,0,2016,CBS,1,13,Wed/Sun,10:00 PM/8:00 PM,Wed,10:00 PM,Wed 10:00 PM,1,No,2/15/17,8/12/17,180,178,0.27,0.8,0.8,0.1,0,-0.53,0.6625,2.6,5.31,5.31,1.59,0,-2.71,0.5104,0.8,0.6,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,,0.7,-0.2,12.5,5.31,4.03,1.66,1.62,1.59,1.61,1.9,1.8,1.7,1.9,1.99,1.73,1.8,,,,,,,,,,,,,4.85,-0.1,8.66
Dr. Ken,Dr. Ken2015,Renewed,1,2015,ABC,1,22,Fri,8:30 PM,Fri,8:30 PM,Fri 8:30 PM,0,No,10/2/15,4/22/16,11,203,1.11,1.5,1.5,0.9,0,-0.39,0.26,5.68,6.71,6.71,4.53,0,-1.03,0.1535,1.5,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1,1.1,1,1.1,1,1.1,0.9,1,0.9,1,0.9,,,,1.11,-0.6,25.76,6.71,5.72,5.76,5.97,5.77,5.38,5.26,6.07,5.32,4.8,5.4,5.23,5.13,4.81,4.89,5.12,4.75,4.53,5.23,4.68,4.7,4.59,,,,5.26,-2.12,21.54
Dr. Ken,Dr. Ken2016,Cancelled,0,2016,ABC,2,22,Fri,8:30 PM,Fri,8:30 PM,Fri 8:30 PM,0,No,9/23/16,3/31/17,35,189,0.87,0.9,1.1,0.7,-0.2017,-0.03,0.0333,4.04,4.02,5.48,3.85,-0.1629,0.02,-0.005,0.9,0.8,0.9,0.9,0.8,0.8,0.9,0.9,0.8,0.8,0.9,1.1,0.9,1,1,0.9,0.8,0.9,0.8,0.8,0.8,0.7,,,,0.87,-0.2,3.54,4.02,3.85,3.9,4.1,4.43,4.12,4.41,4.66,4.42,4.45,4.5,5.48,4.81,4.63,5.18,4.65,4.23,4.56,3.91,4.43,4.14,4.02,,,,4.4,0,-9.57
Dracula,Dracula2013,Cancelled,0,2013,NBC,1,10,Fri,10:00 PM,Fri,10:00 PM,Fri 10:00 PM,0,No,10/25/13,1/24/14,39,91,1.04,1.8,1.8,0.7,0,-0.76,0.4222,5.76,5.26,5.26,2.47,0,0.5,-0.0951,1.8,1.3,0.9,0.9,0.9,1.1,0.9,0.7,0.9,1,,,,,,,,,,,,,,,,1.04,-0.8,42.22,5.26,3.39,2.97,2.99,2.84,3.83,2.9,2.47,2.78,3.04,,,,,,,,,,,,,,,,3.25,-2.22,38.27
Dynasty,Dynasty2017,Renewed,1,2017,CW,1,22,Wed/Fri,9:00 PM/8:00 PM,Wed,9:00 PM,Wed 9:00 PM,1,No,10/11/17,5/11/18,31,212,0.18,0.3,0.3,0.1,0,-0.12,0.4,2.18,1.26,1.26,0.55,0,0.92,-0.7302,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.1,,,,0.18,-0.2,39.39,1.26,0.92,0.72,0.74,0.72,0.64,0.64,0.64,0.69,0.63,0.56,0.65,0.65,0.64,0.6,0.63,0.69,0.71,0.56,0.68,0.55,0.56,,,,0.69,-0.7,45.6
Dynasty,Dynasty2018,Renewed,1,2018,CW,2,22,Fri,8:00 PM,Fri,8:00 PM,Fri 8:00 PM,0,No,10/12/18,5/24/19,33,224,0.15,0.2,0.2,0.1,-0.1432,-0.05,0.25,1.49,0.64,0.66,0.39,-0.1897,0.85,-1.3281,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,,,,0.15,-0.1,25,0.64,0.61,0.56,0.55,0.6,0.66,0.63,0.56,0.63,0.59,0.58,0.6,0.61,0.47,0.55,0.52,0.55,0.49,0.39,0.42,0.47,0.53,,,,0.56,-0.11,13.28
Elementary,Elementary2013,Renewed,1,2013,CBS,2,24,Thu,10:00 PM,Thu,10:00 PM,Thu 10:00 PM,0,No,9/26/13,5/15/14,10,231,1.73,2.1,2.1,1.4,-0.2347,-0.37,0.1762,8.58,10.18,10.34,7.37,-0.1749,-1.6,0.1572,2.1,2,1.9,1.5,1.8,1.8,1.8,1.6,1.8,1.8,1.7,1.8,2,1.9,1.8,1.6,1.8,1.7,1.5,1.6,1.6,1.6,1.5,1.4,,1.73,-0.7,17.46,10.18,9.38,9.06,8.52,8.72,9.47,8.89,8.54,9.24,8.29,9.09,9.04,9.97,10.34,9.45,8.66,8.54,8.94,7.83,7.9,8.13,7.79,7.54,7.37,,8.79,-2.81,13.69
Elementary,Elementary2014,Renewed,1,2014,CBS,3,24,Thu,10:00 PM,Thu,10:00 PM,Thu 10:00 PM,0,No,10/30/14,5/14/15,44,196,1.29,1.2,1.5,1,-0.2575,0.09,-0.075,6.33,7.57,8.6,6.11,-0.1555,-1.24,0.1638,1.2,1.2,1,1,1.2,1.2,1.4,1.3,1.5,1.3,1.5,1.3,1.5,1.4,1.5,1.3,1.5,1.2,1.2,1.4,1.3,1.2,1.1,1.2,,1.29,0,-7.29,7.57,7.07,6.53,6.49,6.11,6.59,7.63,7.57,8.6,8.09,8.28,7.69,7.87,7.91,8.21,7.67,7.58,7.48,7.03,7.56,7.73,7.03,6.92,6.96,,7.42,-0.61,1.93
Elementary,Elementary2015,Renewed,1,2015,CBS,4,24,Thu/Sun,10:00 PM,Thu,10:00 PM,Thu 10:00 PM,1,No,11/5/15,5/8/16,45,185,0.96,1.1,1.2,0.7,-0.2519,-0.14,0.1273,5.61,5.58,6.71,5,-0.2266,0.03,-0.0054,1.1,0.8,0.9,1,1,1,1.2,1.1,1.1,1.1,1.1,1.1,1,1.1,1.1,1,0.8,0.8,0.9,0.9,0.7,0.7,0.8,0.7,,0.96,-0.4,12.88,5.58,5.16,5.61,5.32,5,5.92,6.71,5.98,6.33,6.09,6.23,6.1,5.95,5.82,5.85,5.64,5.28,5.16,6.38,6.04,5.51,5.15,5.45,5.46,,5.74,-0.12,-2.84
Elementary,Elementary2016,Renewed,1,2016,CBS,5,24,Sun,10:00 PM,Sun,10:00 PM,Sun 10:00 PM,0,No,10/2/16,5/21/17,44,231,0.64,0.8,0.8,0.5,-0.3316,-0.16,0.2,5.05,6.03,6.03,3.4,-0.1589,-0.98,0.1625,0.8,0.7,0.8,0.6,0.6,0.7,0.7,0.7,0.6,0.7,0.7,0.5,0.7,0.7,0.6,0.6,0.6,0.8,0.6,0.5,0.5,0.6,0.6,0.5,,0.64,-0.3,19.57,6.03,5.21,5.39,4.8,4.68,5.45,5.01,4.95,4.73,5.08,5.14,4.36,5.44,5.08,4.26,3.4,4.28,5.16,4.29,4.47,4.79,4.22,4.43,4.11,,4.78,-1.92,20.7
Elementary,Elementary2017,Renewed,1,2017,CBS,6,21,Mon,10:00 PM,Mon,10:00 PM,Mon 10:00 PM,0,No,4/30/18,9/17/18,232,140,0.48,0.6,0.6,0.3,-0.256,-0.12,0.2,4.2,4.74,4.74,3.02,-0.2157,-0.54,0.1139,0.6,0.6,0.6,0.5,0.4,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.5,,,,,0.48,-0.2,19.79,4.74,4.59,4.43,4.17,3.94,4.41,4.35,4.54,3.97,3.89,3.35,3.45,4.44,3.38,3.02,3.48,3.34,3.57,3.3,3.17,3.1,,,,,4.01,-1.26,15.41
Emerald City,Emerald City2016,Cancelled,0,2016,NBC,1,10,Fri,9:00 PM,Fri,9:00 PM,Fri 9:00 PM,0,No,1/6/17,3/3/17,140,56,0.72,1,1,0.6,0,-0.28,0.28,4.59,4.49,4.49,2.34,0,0.1,-0.0223,1,1,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.7,,,,,,,,,,,,,,,,0.71,-0.4,29.09,4.49,4.49,3.22,2.83,2.79,2.42,2.34,2.47,2.36,2.87,,,,,,,,,,,,,,,,3.03,-1.62,32.56
Empire,Empire2014,Renewed,1,2014,FOX,1,12,Wed,9:00 PM,Wed,9:00 PM,Wed 9:00 PM,0,No,1/7/15,3/18/15,113,70,5.09,3.8,6.9,3.8,0,1.29,-0.3395,8.66,9.9,17.62,9.9,0,-1.24,0.1253,3.8,4,4.4,4.3,4.6,4.8,5.2,5.4,5.8,5.8,6.1,6.9,,,,,,,,,,,,,,5.09,3.1,-33.99,9.9,10.32,11.07,11.36,11.47,11.96,13.02,13.9,14.33,14.9,15.82,17.62,,,,,,,,,,,,,,12.97,7.72,-31.04
Empire,Empire2015,Renewed,1,2015,FOX,2,18,Wed,9:00 PM,Wed,9:00 PM,Wed 9:00 PM,0,No,9/23/15,5/18/16,2,238,4.42,6.7,6.7,3.2,-0.1314,-2.28,0.3403,11.53,16.18,16.18,9.21,-0.1162,-4.65,0.2874,6.7,5.5,5.1,4.7,4.8,4.6,4.2,4.4,3.2,4.5,4.8,4.3,3.8,3.7,3.8,3.6,3.7,4.1,,,,,,,,4.42,-2.6,34.08,16.18,13.74,13.01,12.22,12.28,11.68,11.2,11.34,9.21,11.81,12.46,11.34,10.11,9.56,10.03,9.39,9.81,10.88,,,,,,,,11.46,-5.3,29.18
Empire,Empire2016,Renewed,1,2016,FOX,3,18,Wed,9:00 PM,Wed,9:00 PM,Wed 9:00 PM,0,No,9/21/16,5/24/17,33,245,2.75,4.2,4.2,1.9,-0.3793,-1.45,0.3452,8.22,10.87,10.87,5.6,-0.3356,-2.65,0.2438,4.2,3.7,3.4,3.5,2.9,3.1,2.9,2.5,2.7,2.8,2.4,2.2,2.3,2.1,1.9,2.2,2.2,2.5,,,,,,,,2.75,-1.7,34.52,10.87,9.65,9.25,9.27,8.15,8.39,7.84,7,7.58,7.95,6.91,6.35,6.59,6.31,5.6,6.32,6.14,6.94,,,,,,,,7.62,-3.93,29.92
Empire,Empire2017,Renewed,1,2017,FOX,4,18,Wed,8:00 PM,Wed,8:00 PM,Wed 8:00 PM,0,No,9/27/17,5/23/18,17,238,1.84,2.4,2.4,1.6,-0.3301,-0.56,0.2333,6.01,7.05,7.05,5.02,-0.2573,-1.04,0.1475,2.4,1.9,2,1.8,1.8,2,1.7,1.8,1.9,2,1.8,1.9,1.8,1.7,1.7,1.6,1.6,1.7,,,,,,,,1.84,-0.7,23.38,7.05,5.89,5.92,5.65,5.4,6.05,5.05,5.68,5.91,6.22,5.57,5.91,5.41,5.34,5.28,5.02,5.14,5.3,,,,,,,,5.66,-1.75,19.79
Empire,Empire2018,Renewed/Ending,1,2018,FOX,5,18,Wed,8:00 PM,Wed,8:00 PM,Wed 8:00 PM,0,No,9/26/18,5/8/19,17,224,1.34,1.9,1.9,1.1,-0.2672,-0.56,0.2947,5.31,6.09,6.09,3.73,-0.2011,-0.78,0.1281,1.9,1.5,1.6,1.6,1.2,1.5,1.4,1.6,1.5,1.2,1.2,1.1,1.2,1.1,1.1,1.1,1.1,1.2,,,,,,,,1.34,-0.7,29.53,6.09,5.09,5.15,5.21,4.23,5.01,4.89,5.03,5.04,4.4,3.98,3.97,4.12,3.76,3.76,3.77,3.73,4.09,,,,,,,,4.52,-2,25.82
Enlisted,Enlisted2013,Cancelled,0,2013,FOX,1,10,Fri/Sun,9:30 PM/7:00 PM,Fri,9:30 PM,Fri 9:30 PM,1,No,1/10/14,6/22/14,116,163,0.64,0.7,1,0.4,0,-0.06,0.0857,2.21,2.41,3.23,1.14,0,-0.2,0.083,0.7,0.6,1,0.8,0.7,0.6,0.7,0.5,0.4,0.4,,,,,,,,,,,,,,,,0.64,-0.3,8.57,2.41,2.01,3.23,2.79,1.83,1.9,1.84,1.36,1.33,1.14,,,,,,,,,,,,,,,,1.98,-1.27,17.68
Fam,Fam2018,Cancelled,0,2018,CBS,1,13,Thu,9:30 PM,Thu,9:30 PM,Thu 9:30 PM,0,No,1/10/19,4/11/19,123,91,0.88,1.2,1.2,0.7,0,-0.32,0.2667,6.25,7.34,7.34,4.55,0,-1.09,0.1485,1.2,0.9,1,0.8,1,0.8,0.9,0.8,0.9,0.9,0.7,0.7,0.8,,,,,,,,,,,,,0.88,-0.4,26.92,7.34,6,6.35,5.03,6.05,5.43,5.58,5.09,5.68,5.76,4.55,4.79,4.93,,,,,,,,,,,,,5.58,-2.41,23.94
Family Guy,Family Guy2013,Renewed,1,2013,FOX,11,21,Sun,9:00 PM/8:30 PM,Sun,9:00 PM,Sun 9:00 PM,1,No,9/29/13,5/18/14,13,231,2.34,2.6,3.1,2,-0.1326,-0.26,0.1,4.6,5.23,6.37,3.88,-0.1318,-0.63,0.1205,2.6,2.5,2.5,2,2.2,2.2,2.7,3,3.1,2.7,2,2.2,2.3,2.2,2.1,2.3,2.1,2.1,2.2,2.1,2,,,,,2.34,-0.6,10.07,5.23,5.2,4.87,4.18,4.46,4.58,5.36,6.37,5.76,5.22,4.11,4.56,4.62,4.38,4.17,4.77,4.39,4.02,4.4,4.16,3.88,,,,,4.7,-1.35,10.14
